,time,low,high,open,close,Day,Polarity_of_Desc
0,2019-11-25T12:00:00,146.13,149.3,148.6,148.58,2019-11-25,0
1,2019-11-25T11:00:00,148.13,151.69,149.89,148.6,2019-11-25,0
2,2019-11-25T10:00:00,147.41,150.48,147.81,149.84,2019-11-25,0
3,2019-11-25T09:00:00,146.29,149.32,146.29,147.81,2019-11-25,0
4,2019-11-25T08:00:00,145.56,150.09,147.61,146.29,2019-11-25,0
5,2019-11-25T07:00:00,142.42,148.73,142.53,147.47,2019-11-25,0
6,2019-11-25T06:00:00,140.91,147.0,143.92,142.64,2019-11-25,0
7,2019-11-25T05:00:00,137.1,146.15,137.61,143.74,2019-11-25,0
8,2019-11-25T04:00:00,135.25,138.8,135.68,137.62,2019-11-25,0
9,2019-11-25T03:00:00,134.59,136.45,135.47,135.59,2019-11-25,0
10,2019-11-25T02:00:00,134.46,136.25,134.75,135.46,2019-11-25,0
11,2019-11-25T01:00:00,132.23,135.4,132.47,134.62,2019-11-25,0
12,2019-11-25T00:00:00,131.8,135.06,134.62,132.45,2019-11-25,0
13,2019-11-24T23:00:00,133.88,136.53,136.49,134.56,2019-11-24,0.1
14,2019-11-24T22:00:00,136.49,138.96,138.05,136.49,2019-11-24,0.1
15,2019-11-24T21:00:00,137.06,139.04,137.79,138.04,2019-11-24,0.1
16,2019-11-24T20:00:00,136.01,142.5,140.48,137.83,2019-11-24,0.1
17,2019-11-24T19:00:00,138.01,141.03,140.1,140.44,2019-11-24,0.1
18,2019-11-24T18:00:00,138.53,144.31,144.16,139.99,2019-11-24,0.1
19,2019-11-24T17:00:00,142.91,144.75,144.01,144.23,2019-11-24,0.1
20,2019-11-24T16:00:00,143.9,145.04,144.7,144.02,2019-11-24,0.1
21,2019-11-24T15:00:00,142.46,145.15,144.13,144.47,2019-11-24,0.1
22,2019-11-24T14:00:00,143.86,145.06,144.91,144.17,2019-11-24,0.1
23,2019-11-24T13:00:00,144.44,145.84,145.16,144.86,2019-11-24,0.1
24,2019-11-24T12:00:00,144.13,145.61,144.89,145.22,2019-11-24,0.1
25,2019-11-24T11:00:00,141.49,145.71,143.61,144.89,2019-11-24,0.1
26,2019-11-24T10:00:00,143.01,147.17,146.28,143.72,2019-11-24,0.1
27,2019-11-24T09:00:00,144.61,148.72,148.55,146.26,2019-11-24,0.1
28,2019-11-24T08:00:00,148.5,149.46,149.46,148.55,2019-11-24,0.1
29,2019-11-24T07:00:00,148.84,150.11,150.02,149.4,2019-11-24,0.1
