,time,low,high,open,close,Day,Polarity_of_Desc
0,2019-11-25T12:00:00,46.09,46.76,46.56,46.64,2019-11-25,0
1,2019-11-25T11:00:00,46.38,47.51,47.09,46.56,2019-11-25,0
2,2019-11-25T10:00:00,46.32,47.47,46.32,47.09,2019-11-25,0
3,2019-11-25T09:00:00,45.88,46.5,45.88,46.32,2019-11-25,0
4,2019-11-25T08:00:00,45.73,46.92,46.34,45.92,2019-11-25,0
5,2019-11-25T07:00:00,45.15,47.07,45.21,46.36,2019-11-25,0
6,2019-11-25T06:00:00,44.91,46.84,46.15,45.25,2019-11-25,0
7,2019-11-25T05:00:00,43.89,47.0,44.16,46.12,2019-11-25,0
8,2019-11-25T04:00:00,43.35,44.5,43.42,44.17,2019-11-25,0
9,2019-11-25T03:00:00,43.0,43.75,43.37,43.42,2019-11-25,0
10,2019-11-25T02:00:00,43.1,43.76,43.4,43.36,2019-11-25,0
11,2019-11-25T01:00:00,42.27,43.47,42.27,43.33,2019-11-25,0
12,2019-11-25T00:00:00,42.16,43.52,43.32,42.23,2019-11-25,0
13,2019-11-24T23:00:00,42.82,43.97,43.39,43.32,2019-11-24,0
14,2019-11-24T22:00:00,43.36,43.99,43.83,43.37,2019-11-24,0
15,2019-11-24T21:00:00,43.42,44.32,43.64,43.86,2019-11-24,0
16,2019-11-24T20:00:00,42.63,45.36,44.78,43.59,2019-11-24,0
17,2019-11-24T19:00:00,43.05,44.86,43.94,44.76,2019-11-24,0
18,2019-11-24T18:00:00,43.58,45.26,45.26,43.95,2019-11-24,0
19,2019-11-24T17:00:00,44.92,45.31,45.11,45.26,2019-11-24,0
20,2019-11-24T16:00:00,45.04,45.35,45.13,45.1,2019-11-24,0
21,2019-11-24T15:00:00,44.54,45.21,45.07,45.14,2019-11-24,0
22,2019-11-24T14:00:00,44.95,45.35,45.25,45.05,2019-11-24,0
23,2019-11-24T13:00:00,45.02,45.57,45.46,45.22,2019-11-24,0
24,2019-11-24T12:00:00,45.06,45.75,45.19,45.45,2019-11-24,0
25,2019-11-24T11:00:00,43.6,45.31,44.51,45.23,2019-11-24,0
26,2019-11-24T10:00:00,44.44,46.08,45.82,44.58,2019-11-24,0
27,2019-11-24T09:00:00,45.11,46.73,46.63,45.82,2019-11-24,0
28,2019-11-24T08:00:00,46.64,47.05,46.98,46.69,2019-11-24,0
29,2019-11-24T07:00:00,46.83,47.4,47.37,46.87,2019-11-24,0
30,2019-11-24T06:00:00,46.73,47.78,46.76,47.4,2019-11-24,0
31,2019-11-24T05:00:00,46.54,47.83,47.67,46.69,2019-11-24,0
32,2019-11-24T04:00:00,47.03,47.75,47.2,47.65,2019-11-24,0
33,2019-11-24T03:00:00,47.01,47.37,47.14,47.21,2019-11-24,0
34,2019-11-24T02:00:00,47.07,47.46,47.4,47.07,2019-11-24,0
35,2019-11-24T01:00:00,47.07,47.55,47.11,47.43,2019-11-24,0
36,2019-11-24T00:00:00,46.88,47.38,47.07,47.06,2019-11-24,0
37,2019-11-23T23:00:00,46.86,47.41,47.19,47.05,2019-11-23,0.04
38,2019-11-23T22:00:00,47.13,47.58,47.51,47.22,2019-11-23,0.04
39,2019-11-23T21:00:00,47.4,47.92,47.42,47.53,2019-11-23,0.04
40,2019-11-23T20:00:00,47.26,47.75,47.62,47.43,2019-11-23,0.04
41,2019-11-23T19:00:00,47.4,48.34,48.25,47.64,2019-11-23,0.04
42,2019-11-23T18:00:00,47.95,48.4,48.01,48.22,2019-11-23,0.04
43,2019-11-23T17:00:00,47.71,48.18,47.74,48.0,2019-11-23,0.04
44,2019-11-23T16:00:00,47.43,47.85,47.8,47.74,2019-11-23,0.04
45,2019-11-23T15:00:00,47.64,48.02,47.96,47.79,2019-11-23,0.04
46,2019-11-23T14:00:00,47.85,48.34,48.28,47.93,2019-11-23,0.04
47,2019-11-23T13:00:00,47.96,48.37,48.11,48.17,2019-11-23,0.04
48,2019-11-23T12:00:00,47.94,48.49,48.31,48.14,2019-11-23,0.04
49,2019-11-23T11:00:00,47.79,48.65,48.03,48.31,2019-11-23,0.04
50,2019-11-23T10:00:00,47.39,48.28,47.65,48.03,2019-11-23,0.04
51,2019-11-23T09:00:00,47.02,48.1,47.06,47.71,2019-11-23,0.04
52,2019-11-23T08:00:00,46.65,47.11,46.85,47.06,2019-11-23,0.04
53,2019-11-23T07:00:00,46.78,47.49,47.49,46.93,2019-11-23,0.04
54,2019-11-23T06:00:00,47.43,48.03,47.49,47.52,2019-11-23,0.04
55,2019-11-23T05:00:00,46.73,47.9,46.95,47.49,2019-11-23,0.04
56,2019-11-23T04:00:00,46.33,46.96,46.85,46.92,2019-11-23,0.04
57,2019-11-23T03:00:00,46.7,47.45,47.21,46.92,2019-11-23,0.04
58,2019-11-23T02:00:00,47.11,47.54,47.11,47.2,2019-11-23,0.04
59,2019-11-23T01:00:00,47.0,47.32,47.18,47.12,2019-11-23,0.04
60,2019-11-23T00:00:00,47.0,47.24,47.16,47.21,2019-11-23,0.04
61,2019-11-22T23:00:00,47.15,47.73,47.58,47.17,2019-11-22,0.06552469135802469
62,2019-11-22T22:00:00,47.27,47.62,47.27,47.57,2019-11-22,0.06552469135802469
63,2019-11-22T21:00:00,46.78,47.26,46.79,47.25,2019-11-22,0.06552469135802469
64,2019-11-22T20:00:00,46.54,47.01,47.01,46.82,2019-11-22,0.06552469135802469
65,2019-11-22T19:00:00,46.68,47.52,47.44,47.03,2019-11-22,0.06552469135802469
66,2019-11-22T18:00:00,46.94,47.7,47.35,47.4,2019-11-22,0.06552469135802469
67,2019-11-22T17:00:00,47.35,48.47,48.4,47.35,2019-11-22,0.06552469135802469
68,2019-11-22T16:00:00,48.11,48.67,48.41,48.36,2019-11-22,0.06552469135802469
69,2019-11-22T15:00:00,48.16,48.73,48.41,48.48,2019-11-22,0.06552469135802469
70,2019-11-22T14:00:00,47.43,48.64,47.5,48.42,2019-11-22,0.06552469135802469
71,2019-11-22T13:00:00,46.64,47.68,46.77,47.47,2019-11-22,0.06552469135802469
72,2019-11-22T12:00:00,46.5,46.94,46.54,46.79,2019-11-22,0.06552469135802469
73,2019-11-22T11:00:00,46.47,47.58,46.88,46.58,2019-11-22,0.06552469135802469
74,2019-11-22T10:00:00,45.73,47.14,45.75,46.87,2019-11-22,0.06552469135802469
75,2019-11-22T09:00:00,43.55,46.24,45.8,45.75,2019-11-22,0.06552469135802469
76,2019-11-22T08:00:00,45.15,47.32,47.32,45.8,2019-11-22,0.06552469135802469
77,2019-11-22T07:00:00,46.7,47.41,47.15,47.26,2019-11-22,0.06552469135802469
78,2019-11-22T06:00:00,46.26,47.53,46.26,47.19,2019-11-22,0.06552469135802469
79,2019-11-22T05:00:00,45.17,48.68,48.68,46.19,2019-11-22,0.06552469135802469
80,2019-11-22T04:00:00,48.31,50.44,50.44,48.73,2019-11-22,0.06552469135802469
