Cluster,Hour,Occurunces
0,0,6
0,1,6
0,2,6
0,3,6
0,4,6
0,5,6
0,6,6
0,7,6
0,8,6
0,9,6
0,10,6
0,11,6
0,12,6
0,13,6
0,14,6
0,15,6
0,16,6
0,17,6
0,18,7
0,19,7
0,20,7
0,21,7
0,22,6
0,23,6
1,0,4
1,1,5
1,2,8
1,3,9
1,4,9
1,5,9
1,6,9
1,7,9
1,8,10
1,9,8
1,10,8
1,11,8
1,12,8
1,13,8
1,14,8
1,15,8
1,16,10
1,17,9
1,18,6
1,19,7
1,20,6
1,21,6
1,22,5
1,23,5
2,0,19
2,1,18
2,2,16
2,3,15
2,4,15
2,5,15
2,6,15
2,7,15
2,8,14
2,9,16
2,10,16
2,11,16
2,12,16
2,13,16
2,14,16
2,15,16
2,16,14
2,17,15
2,18,17
2,19,16
2,20,17
2,21,17
2,22,18
2,23,18
