time,low,high,open,close
2019-11-24T12:00:00,45.06,45.75,45.19,45.45
2019-11-24T11:00:00,43.6,45.31,44.51,45.23
2019-11-24T10:00:00,44.44,46.08,45.82,44.58
2019-11-24T09:00:00,45.11,46.73,46.63,45.82
2019-11-24T08:00:00,46.64,47.05,46.98,46.69
2019-11-24T07:00:00,46.83,47.4,47.37,46.87
2019-11-24T06:00:00,46.73,47.78,46.76,47.4
2019-11-24T05:00:00,46.54,47.83,47.67,46.69
2019-11-24T04:00:00,47.03,47.75,47.2,47.65
2019-11-24T03:00:00,47.01,47.37,47.14,47.21
2019-11-24T02:00:00,47.07,47.46,47.4,47.07
2019-11-24T01:00:00,47.07,47.55,47.11,47.43
2019-11-24T00:00:00,46.88,47.38,47.07,47.06
2019-11-23T23:00:00,46.86,47.41,47.19,47.05
2019-11-23T22:00:00,47.13,47.58,47.51,47.22
2019-11-23T21:00:00,47.4,47.92,47.42,47.53
2019-11-23T20:00:00,47.26,47.75,47.62,47.43
2019-11-23T19:00:00,47.4,48.34,48.25,47.64
2019-11-23T18:00:00,47.95,48.4,48.01,48.22
2019-11-23T17:00:00,47.71,48.18,47.74,48.0
2019-11-23T16:00:00,47.43,47.85,47.8,47.74
2019-11-23T15:00:00,47.64,48.02,47.96,47.79
2019-11-23T14:00:00,47.85,48.34,48.28,47.93
2019-11-23T13:00:00,47.96,48.37,48.11,48.17
2019-11-23T12:00:00,47.94,48.49,48.31,48.14
2019-11-23T11:00:00,47.79,48.65,48.03,48.31
2019-11-23T10:00:00,47.39,48.28,47.65,48.03
2019-11-23T09:00:00,47.02,48.1,47.06,47.71
2019-11-23T08:00:00,46.65,47.11,46.85,47.06
2019-11-23T07:00:00,46.78,47.49,47.49,46.93
2019-11-23T06:00:00,47.43,48.03,47.49,47.52
2019-11-23T05:00:00,46.73,47.9,46.95,47.49
2019-11-23T04:00:00,46.33,46.96,46.85,46.92
2019-11-23T03:00:00,46.7,47.45,47.21,46.92
2019-11-23T02:00:00,47.11,47.54,47.11,47.2
2019-11-23T01:00:00,47.0,47.32,47.18,47.12
2019-11-23T00:00:00,47.0,47.24,47.16,47.21
2019-11-22T23:00:00,47.15,47.73,47.58,47.17
2019-11-22T22:00:00,47.27,47.62,47.27,47.57
2019-11-22T21:00:00,46.78,47.26,46.79,47.25
2019-11-22T20:00:00,46.54,47.01,47.01,46.82
2019-11-22T19:00:00,46.68,47.52,47.44,47.03
2019-11-22T18:00:00,46.94,47.7,47.35,47.4
2019-11-22T17:00:00,47.35,48.47,48.4,47.35
2019-11-22T16:00:00,48.11,48.67,48.41,48.36
2019-11-22T15:00:00,48.16,48.73,48.41,48.48
2019-11-22T14:00:00,47.43,48.64,47.5,48.42
2019-11-22T13:00:00,46.64,47.68,46.77,47.47
2019-11-22T12:00:00,46.5,46.94,46.54,46.79
2019-11-22T11:00:00,46.47,47.58,46.88,46.58
2019-11-22T10:00:00,45.73,47.14,45.75,46.87
2019-11-22T09:00:00,43.55,46.24,45.8,45.75
2019-11-22T08:00:00,45.15,47.32,47.32,45.8
2019-11-22T07:00:00,46.7,47.41,47.15,47.26
2019-11-22T06:00:00,46.26,47.53,46.26,47.19
2019-11-22T05:00:00,45.17,48.68,48.68,46.19
2019-11-22T04:00:00,48.31,50.44,50.44,48.73
2019-11-22T03:00:00,50.18,51.67,50.18,50.38
2019-11-22T02:00:00,48.77,50.34,49.37,50.14
2019-11-22T01:00:00,49.07,50.51,50.38,49.35
2019-11-22T00:00:00,50.21,50.77,50.69,50.4
2019-11-21T23:00:00,50.39,50.9,50.39,50.68
2019-11-21T22:00:00,50.3,50.83,50.71,50.36
2019-11-21T21:00:00,50.66,51.06,50.85,50.71
2019-11-21T20:00:00,50.68,51.24,51.08,50.84
2019-11-21T19:00:00,50.56,51.11,50.59,51.06
2019-11-21T18:00:00,50.4,50.71,50.6,50.6
2019-11-21T17:00:00,50.36,50.66,50.47,50.59
2019-11-21T16:00:00,50.31,50.61,50.39,50.46
2019-11-21T15:00:00,50.35,50.96,50.65,50.36
2019-11-21T14:00:00,50.21,50.67,50.26,50.66
2019-11-21T13:00:00,49.57,50.55,49.61,50.27
2019-11-21T12:00:00,49.54,50.05,50.0,49.64
2019-11-21T11:00:00,49.78,50.46,50.28,49.98
2019-11-21T10:00:00,48.17,51.15,51.15,50.3
2019-11-21T09:00:00,50.48,52.32,52.14,51.18
2019-11-21T08:00:00,52.16,52.39,52.36,52.17
2019-11-21T07:00:00,51.91,52.41,52.04,52.36
2019-11-21T06:00:00,51.55,52.21,52.15,52.01
2019-11-21T05:00:00,52.14,52.43,52.4,52.18
2019-11-21T04:00:00,52.18,52.75,52.32,52.4
2019-11-21T03:00:00,51.42,53.96,53.93,52.35
2019-11-21T02:00:00,53.66,54.19,54.03,53.93
2019-11-21T01:00:00,53.61,54.95,54.93,54.03
2019-11-21T00:00:00,54.75,54.94,54.91,54.93
2019-11-20T23:00:00,54.81,54.93,54.89,54.89
2019-11-20T22:00:00,54.67,54.97,54.95,54.9
2019-11-20T21:00:00,54.82,55.18,55.17,54.95
2019-11-20T20:00:00,54.89,55.16,54.93,55.11
2019-11-20T19:00:00,54.61,54.96,54.87,54.96
2019-11-20T18:00:00,54.66,54.94,54.87,54.87
2019-11-20T17:00:00,54.86,55.15,55.1,54.93
2019-11-20T16:00:00,54.89,55.14,55.09,55.09
2019-11-20T15:00:00,54.61,55.08,54.69,55.08
2019-11-20T14:00:00,54.55,54.93,54.88,54.69
2019-11-20T13:00:00,54.73,55.63,55.31,54.88
2019-11-20T12:00:00,54.87,55.3,54.87,55.29
2019-11-20T11:00:00,54.83,55.39,55.13,54.87
2019-11-20T10:00:00,54.54,55.5,55.43,55.13
2019-11-20T09:00:00,54.93,55.47,54.97,55.45
2019-11-20T08:00:00,54.75,55.01,54.93,54.94
2019-11-20T07:00:00,54.85,55.35,55.0,54.93
2019-11-20T06:00:00,54.6,55.04,54.76,55.02
2019-11-20T05:00:00,54.58,55.19,54.88,54.76
2019-11-20T04:00:00,54.84,55.16,55.16,54.89
2019-11-20T03:00:00,55.05,55.74,55.5,55.17
2019-11-20T02:00:00,55.46,55.83,55.7,55.51
2019-11-20T01:00:00,55.32,56.05,55.32,55.67
2019-11-20T00:00:00,54.9,55.33,55.24,55.33
2019-11-19T23:00:00,55.21,55.82,55.62,55.23
2019-11-19T22:00:00,55.52,55.74,55.69,55.6
2019-11-19T21:00:00,55.6,56.0,55.84,55.7
2019-11-19T20:00:00,55.22,56.12,55.25,55.84
2019-11-19T19:00:00,54.84,55.48,55.05,55.24
2019-11-19T18:00:00,54.9,55.13,55.04,55.08
2019-11-19T17:00:00,54.72,55.15,54.75,55.03
2019-11-19T16:00:00,54.45,54.76,54.64,54.76
2019-11-19T15:00:00,54.3,54.73,54.73,54.57
2019-11-19T14:00:00,54.51,54.87,54.52,54.71
2019-11-19T13:00:00,54.37,55.06,54.87,54.51
2019-11-19T12:00:00,54.2,54.89,54.78,54.85
2019-11-19T11:00:00,54.61,55.54,55.05,54.81
2019-11-19T10:00:00,54.86,55.31,55.08,55.07
2019-11-19T09:00:00,54.37,55.24,54.37,55.06
2019-11-19T08:00:00,54.18,55.04,54.45,54.36
2019-11-19T07:00:00,54.36,55.41,55.09,54.46
2019-11-19T06:00:00,54.1,55.77,55.66,55.09
2019-11-19T05:00:00,55.6,56.05,55.89,55.66
