Type,Title,DatePublished,Body,Description,Polarity_of_Body,Polarity_of_Desc,Polarity_of_Title
Bitcoin,"Top-5 Cryptos This Week: Bitcoin (BTC), XTZ, LEO, XRP, BSV",2019-11-24,"service to all investors across the globe, which is an added incentive to the HODLers to hang on to their investment.
Tezos Southeast Asia has
tied up
with the Singapore government-backed blockchain platform Tribe, to launch a training program for developers from the first quarter of 2020.
While there are some developments on the fundamental side, will it be enough to sustain the rally when the whole crypto space is in a bear grip? Lets analyze its chart.
XTZ USD daily chart. Source: Tradingview
After a mild correction last week, the XTZ/USD pair has resumed its up move. It can now move up to the overhead resistance at $1.85. The price had turned down from $1.85 on two previous occasions. Hence, this level will again act as a major hurdle. If the price reverses from $1.85, it will extend its stay inside the range for a few more days.
However, if the bulls can push the price above $1.85, the pair will start a new uptrend that can carry the price to $2.87 and above it to $3.37. Conversel",Bitcoin is at a critical level. Rising open interest on Bakkt with intraday recovery in BTC price indicates buying at lower levels,0.06856962481962482,0.0,0.0
Bitcoin,Sunday Digest: Bitcoin Price and Other Crypto News,2019-11-24,"in the case brought against him by the estate of former partner Dave Kleiman.
And Finally
Earlier in the week, The Block was crowing about how embarrassing it was for the rest of the crypto media outlets, reporting a story based on a supposed meme tweet, by usually reliable China news source, Dovey Wan.
However, it rather shot itself in the foot, when later in the week it reported a police raid on Binances Shanghai office. The problem was, that there was no police raid, nor even an office, leading Binance CEO, CZ, to confirm that the exchange would be","Tesla launched its pick-up truck with a bang this week, and then a crash, as its windows were smashed in ademonstration to show that they were unbreakable.",-0.09,0.0,-0.125
Bitcoin,"Charles Hoskinson Says Crypto Is 'Unstoppable', Bitcoin (BTC) to Reclaim $10K",2019-11-24,"tweeted out
, Remember everyone, after the FUD, news trading and manipulation clears out, we still have a global movement thats going to change the world. We will see [$]10K BTC again and welcome [$]100K. Crypto is unstoppable. Crypto is the future.
While Hoskinson clearly has a reason to be bullish, options traders have a more tepid opinion on Bitcoins chances of reclaiming the $10,000 level in the near-term.
According to
Bitcoin options data
from market research firm Skew, investor expectation of Bitcoin being above $10K by June 2020 currently sits at 21%. This percentage is based on price targets from Bitcoin option maturity dates. This same data has the likelihood of Bitcoin being above $10K by the New Year at only 6% following the latest downturn.
More:",The recent pullback hasn't fazed Cardano's creator.,0.15575757575757576,0.0,0.0
Bitcoin,Bitcoin Dives to a Six-Month Low on China Crackdown,2019-11-23,"Bitcoin is trading below $7,000, its lowest since May this year
Highlights
Bitcoin fell nine percent to $6,929
Its the lowest since May
Bitcoin in late October slumped by nearly a third
Bitcoin slumped to a six-month low on Friday after China's central bank launched a fresh crackdown on cryptocurrencies, warning of the risks entailed in issuing or trading them. Bitcoin, the world's biggest cryptocurrency, fell nine percent to $6,929 (roughly Rs. 4,97,400), its lowest since May, and was last down seven percent at $7,107 (roughly Rs. 5,10,200). The People's Bank of China's Shanghai headquarters said it would tackle growing cases of illegality involving virtual currencies. It also cautioned investors not to confuse crypto with blockchain technology, the digital ledger that underpins many cryptocurrencies such as bitcoin.
The move came a day after regulators in Shenzhen launched a similar campaign, and came as the PBOC prepares to launch its own digital currency.
Chinese President Xi Jinpi","Bitcoin slumped to a six-month low on Friday after China's central bank launched a fresh crackdown on cryptocurrencies, warning of the risks entailed in issuing or trading them.",0.04652777777777777,0.09999999999999999,0.0
Bitcoin,Bitcoin touches six-month low as more supports give way,2019-11-23,"Syndication Washington Post,  Bloomberg  Todd White, Vildana Hajric
767
Viewed
Bitcoin's sell-off deepened on Friday, putting the digital token at the lowest level since May, after it dropped below yet another key support level.
The world's most-traded cryptocurrency declined as much as 11% to $6,798, before trimming losses. Alternative coins such as Ether and Litecoin also slumped. For the first time since April, Bitcoin fell below its 200-day moving average without bouncing back, a signal that traders see the breach as a sign of weakness rather than an opportunity to buy.
Feeding the anxiety were lingering concerns about the status of exchanges such as Binance Holdings Ltd. in China after officials there formally announced a crackdown on crypto-related businesses. Binance has denied reports of a police raid of offices in Shanghai, saying it doesn't have formal operations there as of now.
""There's been a general apathy in the market, and low sentiment,"" said Mati Greenspan, the ex-sen","Bitcoin's sell-off deepened on Friday, putting the digital token at the lowest level since May, after it dropped below yet another key support level.",0.03181818181818183,0.0,0.25
Bitcoin,Bitcoin Price Falters but Fundamentals Remain Intact,2019-11-23,"November 23, 2019 01:25 UTC
The bitcoin price is putting the crypto community to the test.
Bitcoin fundamentals, however, remain solid.
Altcoins are down in sympathy.
Its not easy being a crypto investor these days. China is sending mixed messages, the bitcoin price is in the doldrums, and there is
major FUD being spread around the industry
that is only exacerbating already precarious market conditions. In fact, the only thing harder than being a bitcoin investor these days is being an altcoin investor, given they are subject to the whims of a violently volatile larger peer, the latter of which currently boasts a dominance rating of more than 66%.
Source:
Twitter
Fundamental Focus
Bitcoin is currently trading where some said it would never trade again  below $10,000. In fact, its down 15% in the past week alone and is trading at May 2019 levels. But if you focus on the fundamentals, you just might be able to see the glass half-full like crypto investor Brian Kelly.
Time and again, cryp","The bitcoin price may be down 15% on the week, but one high-profile crypto investor is focused on fundamentals and says the bottom could be in.",-0.043441358024691366,-0.15555555555555559,0.0
Bitcoin,Bitcoin falls to near 6-month lows. Is a bigger crypto crush ahead?,2019-11-22,"Fast Money
Bitcoin falls to near 6-month lows. Is a bigger crypto crush ahead?
Bitcoin is near 6-month lows. Are things about to get worse? With CNBC's Melissa Lee and the Fast Money traders, Tim Seymour, Brian Kelly, Steve Grasso and Guy Adami.
02:32","Bitcoin is near 6-month lows. Are things about to get worse? With CNBC's Melissa Lee and the Fast Money traders, Tim Seymour, Brian Kelly, Steve Grasso and Guy Adami.",0.03333333333333333,-0.03333333333333335,0.05
Bitcoin,"ICE to launch Bitcoin futures contract in Singapore on Dec 9, Companies & Markets",2019-11-22,"The new Bitcoin futures contract will be listed on ICE Futures Singapore and cleared by ICE Clear Singapore, which are regulated by the Monetary Authority of Singapore.
PHOTO: BLOOMBERG
Singapore
THE Intercontinental Exchange (ICE) is planning to launch a Bitcoin futures contract in Singapore on Dec 9.
The Bakkt Bitcoin cash settled monthly futures contract will be settled against data from the physically delivered Bakkt Bitcoin monthly futures contract, it said...
To continue reading",THE Intercontinental Exchange (ICE) is planning to launch a Bitcoin futures contract in Singapore on Dec 9.,0.0787878787878788,0.0,0.0
Bitcoin,Cryptocurrency: Binance acquires Mumbais bitcoin exchange WazirX,2019-11-22,", in a significant move in the cryptocurrency ecosystem in India.
The transaction was estimated at $5-10 million, according to sources.
Over the last couple of years, exchanges have been shutting down due to lack of a clear regulation, and this acquisition is the first major one in the space. Through this acquisition Binance is expected to foray into the fledgling Indian market, which is counted among the top exchanges globally.
ET had reported earlier that WazirX launched its global operations earlier this year and its
peer-to-peer
and cryptoto-crypto transactions.
WazirXs peer-to-peer (P2P) engine will be integrated into the Binance Fiat Gateway platform in the first quarter of 2020, allowing users to trade any digital asset available on Binance with the purchase of USDT or Tether, a blockchain-based cryptocurrency, from the WazirX P2P market.
The young demographic in India gives an edge to adopt and build on new financial technologies, and I believe this will play a vital role in ma","Through this acquisition, Binance is expected to foray into the fledgling Indian market, which is counted among the top exchanges globally.",0.09466540404040405,0.13333333333333333,0.0
Bitcoin,Bitcoin Drops To Six-Month Low,2019-11-22,"Jeremy Lutz
Hello traders everywhere. Bitcoin's price has briefly dropped below $7,000, hitting an intra-day low of $6,785, its lowest level since May 17, 2019, when it hit a low of $6,178. This move lower has wiped out the +30% single-day gain on Oct. 25, 2019, that had pulled Bitcoin out of a long-term downtrend or bear market. Bitcoin triggered a new red weekly Trade Triangle at the beginning of the week, signaling entry into a long-term downtrend and indicating that a move lower could be on the horizon. That was the start of what would be a -15% loss for the week.
What's ahead for Bitcoin? With this move lower Bitcoin is now trading below its 50-day MA, the MACD has turned lower, and the RSI is no below the 30 level which would lead you to believe that a move lower in on the horizon. Our key level to watch will be $9,586.50. A move above that level will trigger a green weekly Trade Triangle indicating a move to a sidelines position.
Stocks rose Friday for the first time in four day","Bitcoin briefly dropped below $7,000, hitting an intra-day low of $6,785, its lowest level since May 17, 2019, when it hit a low of $6,178.",0.07863636363636364,0.0,0.0
